临时央视,#genre#
CCTV1,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-1-CQ.m3u8$联通
CCTV2,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-2-CQ.m3u8$联通
CCTV3,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-3-CQ.m3u8$联通
CCTV4,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-4-CQ.m3u8$联通
CCTV5,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-5-CQ.m3u8$联通
CCTV5+,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-5PLUS-CQ.m3u8$联通
CCTV6,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-6-CQ.m3u8$联通
CCTV7,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-7-CQ.m3u8$联通
CCTV8,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-8-CQ.m3u8$联通
CCTV9,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-9-CQ.m3u8$联通
CCTV10,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-10-CQ.m3u8$联通
CCTV11,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-11-CQ.m3u8$联通
CCTV12,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-12-CQ.m3u8$联通
CCTV13,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-13-CQ.m3u8$联通
CCTV14,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-14-CQ.m3u8$联通
CCTV15,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-15-CQ.m3u8$联通
CCTV16,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-16-CQ.m3u8$联通
CCTV17,http://host.mxdyeah.top/myz/gdlt.php?id=G_CCTV-17-CQ.m3u8$联通
