广东频道,#genre#
广东珠江,http://183.33.56.53:8686/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://202.168.187.208:9898/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://183.237.246.14:32/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://183.33.56.53:8686/rtp/239.77.0.112:5146$1920x1080
广东体育,http://202.168.187.208:9898/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://183.237.246.14:32/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://202.168.187.208:9898/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://183.237.246.14:32/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://183.237.246.14:32/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8
广东卫视,http://124.64.189.63:8888/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://123.113.34.218:4022/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://111.167.226.190:4022/rtp/225.1.1.116:5002$1920x1080
广东卫视,http://116.226.74.224:18888/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://123.113.236.69:8012/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://124.112.84.250:4000/rtp/238.1.78.161:7160$1920x1080
广东卫视,http://27.11.52.62:8003/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://123.113.237.36:8012/rtp/239.3.1.142:8048$1920x1080
深圳卫视,http://114.253.165.121:10000/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://123.123.167.240:8000/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://60.168.224.192:2000/rtp/238.1.78.156:7120$1920x1080
深圳卫视,http://114.254.189.28:9999/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://60.168.231.251:2000/rtp/238.1.78.156:7120$1920x1080
深圳卫视,http://114.243.104.92:8888/rtp/239.3.1.134:8020$1920x1080
